14_cell_neg_1	0.001	0.44876000000000005
14_cell_neg_2	0.001	0.001
14_cell_neg_3	0.001	0.001
14_cell_neg_4	0.001	0.07851
14_cell_neg_5	0.2275	0.16536333333333333
14_cell_neg_6	0.001	0.01256
14_cell_neg_7	0.001	0.6545
14_cell_neg_8	0.001	0.08459
14_cell_neg_9	0.001	0.22757
14_cell_neg_10	0.001	0.243815
14_cell_neg_11	0.001	0.27089
14_cell_neg_12	0.001	0.001
14_cell_neg_13	0.001	0.001
14_cell_neg_14	0.001	0.563825
14_cell_neg_15	0.06759	0.27251
14_cell_neg_16	0.001	0.38589333333333337
14_cell_neg_17	0.001	0.53505
14_cell_neg_18	0.19836	0.001
14_cell_neg_19	0.36838499999999996	0.22004666666666664
14_cell_neg_20	0.001	0.001
14_cell_neg_21	0.001	0.27251
14_cell_neg_22	0.001	0.1366733333333333
14_cell_neg_23	0.001	0.01259
14_cell_neg_24	0.001	0.001
14_cell_neg_25	0.131295	0.001
14_cell_neg_26	0.001	0.001
14_cell_neg_27	0.23113	0.001
14_cell_neg_28	0.001	0.001
14_cell_neg_29	0.131295	0.27251
14_cell_neg_30	0.001	0.08446000000000001
14_cell_neg_31	0.001	0.11250999999999999
14_cell_neg_32	0.11349000000000001	0.33253
14_cell_neg_33	0.39584	0.001
14_cell_neg_34	0.3325	0.38752
14_cell_neg_35	0.001	0.42391
14_cell_neg_36	0.42754	0.23060999999999998
14_cell_neg_37	0.11257	0.41001000000000004
14_cell_neg_38	0.001	0.27251
14_cell_neg_39	0.25	0.047545000000000004
14_cell_neg_40	0.001	0.27251
14_cell_neg_41	0.001	0.001
14_cell_neg_42	0.001	0.001
14_cell_neg_43	0.001	0.08446000000000001
14_cell_neg_44	0.38925	0.001
14_cell_neg_45	0.001	0.00598
14_cell_neg_46	0.001	0.418825
14_cell_neg_47	0.00237	0.001
14_cell_neg_48	0.37001999999999996	0.03
14_cell_neg_49	0.38925	0.12505
3_cell_pos_1	0.057589999999999995	0.278765
3_cell_pos_2	0.001	0.001
3_cell_pos_3	0.285045	0.001
3_cell_pos_4	0.001	0.001
3_cell_pos_5	0.28712499999999996	0.42002
3_cell_pos_6	0.001	0.2409333333333333
3_cell_pos_7	0.001	0.19033
3_cell_pos_8	0.001	0.001
3_cell_pos_9	0.015019999999999999	0.27251
3_cell_pos_10	0.001	0.106295
3_cell_pos_11	0.001	0.001
3_cell_pos_12	0.001	0.11505333333333334
3_cell_pos_13	0.07056	0.1775
3_cell_pos_14	0.001	0.001
3_cell_pos_15	0.001	0.2708766666666667
3_cell_pos_16	0.001	0.001
3_cell_pos_17	0.38925	0.001
3_cell_pos_18	0.13750500000000002	0.21521999999999997
3_cell_pos_19	0.001	0.283795
3_cell_pos_20	0.36833	0.001
3_cell_pos_21	0.001	0.001
3_cell_pos_22	0.001	0.12504
3_cell_pos_23	0.001	0.14750999999999997
3_cell_pos_24	0.06009	0.001
3_cell_pos_25	0.001	0.52258
3_cell_pos_26	0.53503	0.268785
3_cell_pos_27	0.362024	0.295085
3_cell_pos_28	0.35062	0.34673
3_cell_pos_29	0.001	0.106295
3_cell_pos_30	0.001	0.399598
3_cell_pos_31	0.250995	0.01257
3_cell_pos_32	0.288395	0.33251
3_cell_pos_33	0.001	0.001
3_cell_pos_34	0.001	0.237365
3_cell_pos_35	0.0296	0.17639999999999997
3_cell_pos_36	0.20988199999999999	0.001
3_cell_pos_37	0.001	0.01257
3_cell_pos_38	0.001	0.38925
3_cell_pos_39	0.39216	0.334636
3_cell_pos_40	0.001	0.17253
3_cell_pos_41	0.001	0.27251
3_cell_pos_42	0.001	0.27257000000000003
3_cell_pos_43	0.13006500000000001	0.185
3_cell_pos_44	0.001	0.168795
3_cell_pos_45	0.001	0.16002
3_cell_pos_46	0.43001500000000004	0.001
3_cell_pos_47	0.001	0.001
3_cell_pos_48	0.217155	0.001
3_cell_pos_49	0.001	0.098835
3_cell_pos_50	0.2854733333333333	0.14257
3_cell_pos_51	0.001	0.43251999999999996
3_cell_pos_52	0.001	0.30620499999999995
3_cell_pos_53	0.001	0.29502
3_cell_pos_54	0.001	0.001
3_cell_pos_55	0.38925	0.150548
3_cell_pos_56	0.27002499999999996	0.346265
3_cell_pos_57	0.001	0.18256499999999998
3_cell_pos_58	0.001	0.33086
3_cell_pos_59	0.001	0.27879
3_cell_pos_60	0.001	0.001
3_cell_pos_61	0.001	0.27251
3_cell_pos_62	0.20751666666666665	0.18263875000000002
3_cell_pos_63	0.001	0.19505
3_cell_pos_64	0.001	0.163825
3_cell_pos_65	0.001	0.14629999999999999
3_cell_pos_66	0.001	0.001
3_cell_pos_67	0.001	0.52751
3_cell_pos_68	0.001	0.42008
3_cell_pos_69	0.001	0.273825
3_cell_pos_70	0.001	0.5825
3_cell_pos_71	0.001	0.293385
3_cell_pos_72	0.001	0.001
3_cell_pos_73	0.001	0.11259000000000001
3_cell_pos_74	0.001	0.09756000000000001
3_cell_pos_75	0.001	0.1811514285714286
3_cell_pos_76	0.001	0.10106499999999999
3_cell_pos_77	0.001	0.30251
3_cell_pos_78	0.001	0.242902
3_cell_pos_79	0.001	0.35139200000000004
3_cell_pos_80	0.001	0.22150799999999998
3_cell_pos_81	0.001	0.14251
3_cell_pos_82	0.001	0.001
3_cell_pos_83	0.001	0.72259
3_cell_pos_84	0.001	0.33503666666666665
3_cell_pos_85	0.01257	0.31007
3_cell_pos_86	0.001	0.3050366666666667
3_cell_pos_87	0.001	0.21753499999999998
3_cell_pos_88	0.001	0.1088
3_cell_pos_89	0.001	0.001
3_cell_pos_90	0.001	0.51259
3_cell_pos_91	0.001	0.37314500000000006
3_cell_pos_92	0.001	0.43882999999999994
3_cell_pos_93	0.001	0.47256000000000004
3_cell_pos_94	0.44006000000000006	0.001
3_cell_pos_95	0.3200266666666666	0.001
3_cell_pos_96	0.001	0.19508
3_cell_pos_97	0.001	0.150205
3_cell_pos_98	0.001	0.198795
3_cell_pos_99	0.001	1e-05
